Date,Close,High,Low,Open,Volume,daily_return
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,
2026-02-19,66957.5234375,67277.125,65637.4296875,66425.625,31492987019,
2026-02-20,68005.421875,68269.03125,66452.484375,66958.578125,47507867304,1.5650197075734784
2026-02-21,68003.765625,68657.703125,67533.0703125,68000.25,18357635642,-0.002435467576455963
2026-02-22,67659.390625,68235.2265625,67185.6015625,67998.828125,17893536012,-0.5064057803784272
2026-02-23,64616.73828125,67668.4296875,63924.4375,67668.4296875,50953457309,-4.497014110892317
2026-02-24,64080.04296875,64992.15625,62553.1875,64616.015625,40849331086,-0.8305824880296298
2026-02-25,67960.125,69953.53125,63942.484375,64077.76953125,53629234355,6.055055289432643
2026-02-26,67453.7734375,68843.3515625,66523.734375,67954.8671875,42988597523,-0.7450715585058165
2026-02-27,65881.796875,68220.40625,64946.03515625,67456.515625,40283655942,-2.3304501473983996
2026-02-28,66995.859375,67714.5234375,63062.21875,65878.9296875,42041497112,1.6910019957618205
2026-03-01,65738.1015625,68162.8203125,65076.73046875,67005.8828125,40733141929,-1.8773664883674046
2026-03-02,68775.8515625,70044.0,65303.13671875,65734.078125,56698092052,4.620988327616793
2026-03-03,68293.6484375,69232.890625,66237.6171875,68785.078125,47947999049,-0.7011227255569463
2026-03-04,72710.578125,74051.8046875,67437.40625,68290.5625,75073101274,6.467555605177866
2026-03-05,70841.125,73555.7890625,70654.8828125,72712.65625,51172841727,-2.5710882421896564
2026-03-06,68136.4921875,71378.5703125,67757.8203125,70842.15625,43776962871,-3.8178851796890623
2026-03-07,67272.59375,68515.1640625,66969.2578125,68136.6875,23258701211,-1.267893913767526
2026-03-08,65969.78125,68177.7890625,65639.1953125,67272.5,33195080116,-1.936617019467901
2026-03-09,68402.3828125,69474.9453125,65858.0078125,65969.5859375,49499875378,3.6874482776915407
2026-03-10,69926.921875,71770.8984375,68402.71875,68402.71875,54003996096,2.228780635725758
2026-03-11,70204.8828125,71337.6640625,68998.8671875,69931.25,45236859848,0.3975020350486469
2026-03-12,70493.4609375,70775.828125,69230.15625,70209.765625,40871848129,0.4110513591636167
2026-03-13,70968.265625,73927.328125,70410.7265625,70497.046875,61167226505,0.6735442992662266
2026-03-14,71214.625,71291.203125,70339.5859375,70965.3828125,22283546496,0.34714019404360474
2026-03-15,72789.9140625,73173.0078125,70882.421875,71213.6796875,27991268669,2.212030271169718
2026-03-16,74861.0859375,74901.859375,72300.6328125,72798.171875,55572438409,2.8454105238008953
2026-03-17,73922.4765625,75988.3984375,73444.2265625,74855.296875,49500721728,-1.253801442025071
2026-03-18,71245.578125,74658.9765625,70503.859375,73936.8515625,46229011155,-3.62122396594321
2026-03-19,69912.7890625,71598.84375,68805.5234375,71250.3515625,44631433398,-1.8706972384470388
2026-03-20,70522.5859375,71346.796875,69398.8828125,69911.53125,38299078407,0.8722250723753211
2026-03-21,68711.5234375,71051.2734375,68602.9140625,70522.46875,21109354718,-2.5680602546325204
2026-03-22,67845.2109375,69561.7734375,67372.875,68737.4453125,30108051508,-1.2607965253281006
2026-03-23,70914.859375,71782.2578125,67458.84375,67843.0,51508669357,4.524488014825101
2026-03-24,70517.859375,71371.3046875,68920.6953125,70912.671875,40181522399,-0.5598262529164066
2026-03-25,71309.8828125,71985.7421875,70383.59375,70520.046875,35409791747,1.1231529778693128
2026-03-26,68791.625,71410.390625,68118.3515625,71310.1171875,38962070215,-3.531428903229905
2026-03-27,66338.375,69117.53125,65532.5703125,68790.8359375,46483453594,-3.5662044616623034
2026-03-28,66319.6953125,67232.859375,65906.7421875,66338.5,20924883455,-0.02815819275042708
2026-03-29,65954.921875,67052.953125,64971.70703125,66319.6953125,21645889785,-0.5500227885263609
2026-03-30,66646.1875,67998.6015625,65811.59375,65957.6015625,38360326144,1.0480880051834562
