date,avg_vader_sentiment,avg_finbert_sentiment,tweet_volume
2026-02-19,1.810823404255319,-0.02127659574468085,47
2026-02-20,12.46571904761905,-3.4047619047619047,42
2026-02-21,1.132040909090909,-0.1590909090909091,88
2026-02-22,-0.9363022471910115,-3.303370786516854,89
2026-02-23,-0.033263829787233794,-0.19148936170212766,47
2026-02-24,0.12067999999999997,1.8666666666666667,60
2026-02-25,2.3742940000000003,0.24,50
2026-02-26,4.856793478260869,12.41304347826087,46
2026-02-27,17.915956140350875,4.771929824561403,57
2026-02-28,1.0196734374999998,-0.375,64
2026-03-01,0.252816129032258,4.0,31
2026-03-02,-1.2884011764705883,-3.011764705882353,85
2026-03-03,8.11131746031746,6.285714285714286,63
2026-03-04,-1.2816459999999998,-0.18,50
2026-03-05,3.05187037037037,1.0,27
2026-03-06,0.38905818181818186,0.23636363636363636,55
2026-03-07,0.26959375,0.28125,32
2026-03-08,-0.6762744680851063,-0.02127659574468085,47
2026-03-09,4.272546551724138,0.41379310344827586,58
2026-03-10,-6.811773076923076,12.5,26
2026-03-11,0.266778947368421,0.13157894736842105,38
2026-03-12,3.5262256756756756,0.44594594594594594,74
2026-03-13,0.9787476190476192,2.619047619047619,63
2026-03-14,5.0317452380952385,-10.833333333333334,42
2026-03-15,1.5748448979591836,-0.061224489795918366,49
2026-03-16,0.966732876712329,6.205479452054795,73
2026-03-17,2.181191666666667,1.1527777777777777,72
2026-03-18,13.40627948717949,20.512820512820515,39
2026-03-19,0.8811887096774202,14.225806451612904,62
2026-03-20,16.945246376811593,3.9130434782608696,69
2026-03-21,1.6671333333333334,-1.1666666666666667,60
2026-03-22,0.11054375000000001,-0.125,48
2026-03-23,4.816907142857143,-0.09523809523809523,42
2026-03-24,3.2711,0.0,42
2026-03-25,0.15850384615384613,0.15384615384615385,78
2026-03-26,0.7933453125000001,0.1875,64
2026-03-27,-3.1284719298245616,-0.3684210526315789,57
2026-03-28,-19.584957575757574,-0.030303030303030304,33
2026-03-29,3.4904069444444445,-0.013888888888888888,72
2026-03-30,-1.639364285714286,-10.6,70
