date,coin,avg_compound,avg_weighted_sentiment,tweet_volume,Close,High,Low,Open,Volume,daily_return
2026-02-20,BTC,0.4367949494949495,5.792237373737375,99,68005.421875,68269.03125,66452.484375,66958.578125,47507867304,1.5650197075734784
2026-02-21,BTC,0.1586773195876288,1.5404206185567009,97,68003.765625,68657.703125,67533.0703125,68000.25,18357635642,-0.0024354675764559
2026-02-21,other,-0.1531,-0.3062,1,68003.765625,68657.703125,67533.0703125,68000.25,18357635642,-0.0024354675764559
2026-02-22,BTC,0.0612505263157894,1.6455115789473682,95,67659.390625,68235.2265625,67185.6015625,67998.828125,17893536012,-0.5064057803784272
2026-02-22,other,0.327275,-7.2047,4,67659.390625,68235.2265625,67185.6015625,67998.828125,17893536012,-0.5064057803784272
2026-02-23,BTC,0.37156,0.408926,100,64616.73828125,67668.4296875,63924.4375,67668.4296875,50953457309,-4.497014110892317
2026-02-24,BTC,0.4283989690721649,0.518698969072165,97,64080.04296875,64992.15625,62553.1875,64616.015625,40849331086,-0.8305824880296298
2026-02-24,other,-0.20535,-3.6611,2,64080.04296875,64992.15625,62553.1875,64616.015625,40849331086,-0.8305824880296298
2026-02-25,BTC,0.356169387755102,1.464015306122449,98,67960.125,69953.53125,63942.484375,64077.76953125,53629234355,6.055055289432643
2026-02-26,BTC,0.4270040816326531,2.693270408163265,98,67453.7734375,68843.3515625,66523.734375,67954.8671875,42988597523,-0.7450715585058165
2026-02-26,other,0.401,0.401,2,67453.7734375,68843.3515625,66523.734375,67954.8671875,42988597523,-0.7450715585058165
2026-02-27,BTC,0.3564777777777778,10.627658585858589,99,65881.796875,68220.40625,64946.03515625,67456.515625,40283655942,-2.3304501473984
2026-02-27,other,0.6369,1.2738,1,65881.796875,68220.40625,64946.03515625,67456.515625,40283655942,-2.3304501473984
2026-02-28,BTC,0.1014614583333333,1.1928479166666666,96,66995.859375,67714.5234375,63062.21875,65878.9296875,42041497112,1.6910019957618203
2026-03-01,BTC,0.4848555555555556,1.4076525252525252,99,65738.1015625,68162.8203125,65076.73046875,67005.8828125,40733141929,-1.8773664883674048
2026-03-02,BTC,0.12920375,-1.22718625,80,68775.8515625,70044.0,65303.13671875,65734.078125,56698092052,4.620988327616793
2026-03-02,other,0.0112388888888888,0.0112388888888888,18,68775.8515625,70044.0,65303.13671875,65734.078125,56698092052,4.620988327616793
2026-03-03,BTC,0.331024,5.901261,100,68293.6484375,69232.890625,66237.6171875,68785.078125,47947999049,-0.7011227255569463
2026-03-04,BTC,0.3118282828282828,0.4274888888888888,99,72710.578125,74051.8046875,67437.40625,68290.5625,75073101274,6.467555605177866
2026-03-05,BTC,0.5269400000000001,1.46905,100,70841.125,73555.7890625,70654.8828125,72712.65625,51172841727,-2.5710882421896564
2026-03-06,BTC,0.3061439999999999,0.7517929999999999,100,68136.4921875,71378.5703125,67757.8203125,70842.15625,43776962871,-3.8178851796890623
2026-03-07,BTC,0.5039785714285714,0.8028530612244897,98,67272.59375,68515.1640625,66969.2578125,68136.6875,23258701211,-1.267893913767526
2026-03-07,other,0.0,0.0,1,67272.59375,68515.1640625,66969.2578125,68136.6875,23258701211,-1.267893913767526
2026-03-08,BTC,0.3720602040816326,0.1126755102040816,98,65969.78125,68177.7890625,65639.1953125,67272.5,33195080116,-1.936617019467901
2026-03-09,BTC,0.3024888888888889,2.903112121212121,99,68402.3828125,69474.9453125,65858.0078125,65969.5859375,49499875378,3.6874482776915407
2026-03-09,other,-0.9001,-1.8002,1,68402.3828125,69474.9453125,65858.0078125,65969.5859375,49499875378,3.6874482776915407
2026-03-10,BTC,0.5241383838383838,-1.2180000000000002,99,69926.921875,71770.8984375,68402.71875,68402.71875,54003996096,2.228780635725758
2026-03-11,BTC,0.462038,0.446184,100,70204.8828125,71337.6640625,68998.8671875,69931.25,45236859848,0.3975020350486469
2026-03-12,BTC,0.1157083333333333,5.823744791666666,96,70493.4609375,70775.828125,69230.15625,70209.765625,40871848129,0.4110513591636167
2026-03-12,other,0.0056,0.0056,1,70493.4609375,70775.828125,69230.15625,70209.765625,40871848129,0.4110513591636167
2026-03-13,BTC,0.1637484536082474,-0.0479876288659793,97,70968.265625,73927.328125,70410.7265625,70497.046875,61167226505,0.6735442992662266
2026-03-13,other,0.6597,0.6597,1,70968.265625,73927.328125,70410.7265625,70497.046875,61167226505,0.6735442992662266
2026-03-14,BTC,0.4380459183673469,2.6220367346938778,98,71214.625,71291.203125,70339.5859375,70965.3828125,22283546496,0.3471401940436047
2026-03-15,BTC,0.3830169999999999,1.845403,100,72789.9140625,73173.0078125,70882.421875,71213.6796875,27991268669,2.212030271169718
2026-03-16,BTC,0.1325222222222222,0.8791404040404043,99,74861.0859375,74901.859375,72300.6328125,72798.171875,55572438409,2.8454105238008958
2026-03-17,BTC,0.1269112244897959,1.4982816326530612,98,73922.4765625,75988.3984375,73444.2265625,74855.296875,49500721728,-1.253801442025071
2026-03-18,BTC,0.4297357142857143,5.488680612244899,98,71245.578125,74658.9765625,70503.859375,73936.8515625,46229011155,-3.62122396594321
2026-03-18,other,0.923,47.996,1,71245.578125,74658.9765625,70503.859375,73936.8515625,46229011155,-3.62122396594321
2026-03-19,BTC,0.2326867346938775,1.0177234693877557,98,69912.7890625,71598.84375,68805.5234375,71250.3515625,44631433398,-1.8706972384470388
2026-03-20,BTC,0.205565306122449,12.326867346938776,98,70522.5859375,71346.796875,69398.8828125,69911.53125,38299078407,0.8722250723753211
2026-03-21,BTC,0.1881704081632653,1.1554622448979592,98,68711.5234375,71051.2734375,68602.9140625,70522.46875,21109354718,-2.5680602546325204
2026-03-22,BTC,0.2449515151515151,0.3126121212121212,99,67845.2109375,69561.7734375,67372.875,68737.4453125,30108051508,-1.2607965253281006
2026-03-23,BTC,0.413043,1.9982920000000004,100,70914.859375,71782.2578125,67458.84375,67843.0,51508669357,4.524488014825101
2026-03-24,BTC,0.3374239999999999,2.345358,100,70517.859375,71371.3046875,68920.6953125,70912.671875,40181522399,-0.5598262529164066
2026-03-25,BTC,0.137415,0.2281009999999999,100,71309.8828125,71985.7421875,70383.59375,70520.046875,35409791747,1.1231529778693128
2026-03-26,BTC,0.264076,0.704285,100,68791.625,71410.390625,68118.3515625,71310.1171875,38962070215,-3.531428903229905
2026-03-27,BTC,0.183808,-1.7623609999999998,100,66338.375,69117.53125,65532.5703125,68790.8359375,46483453594,-3.5662044616623034
2026-03-28,BTC,0.516939,-5.891318999999999,100,66319.6953125,67232.859375,65906.7421875,66338.5,20924883455,-0.028158192750427
2026-03-29,BTC,0.2186222222222222,2.7510494949494952,99,65954.921875,67052.953125,64971.70703125,66319.6953125,21645889785,-0.5500227885263609
2026-03-29,other,0.0,0.0,1,65954.921875,67052.953125,64971.70703125,66319.6953125,21645889785,-0.5500227885263609
2026-03-30,BTC,0.199018,-0.904378,100,66646.1875,67998.6015625,65811.59375,65957.6015625,38360326144,1.0480880051834562
